Takeoff Date/Time,Pilot,Sensor,Site,Data Location,Data Upload Status,Drone Logbook Log,dGPS Data,Data Processing Status,Data Processing Assignment,Priority,Notes,Data Quality Notes
7/30/2021 12:49 PM,Phillip,ACRO_2,LFCE-Corn,21_211,Complete,Complete,Pending Upload,Complete,Alistair,,use PPP from 21_056 need to uplaod mavic imagery yet,
7/30/2021 11:59 AM,Phillip,ACRO_2,LFCE-Forage,21_211,Complete,Complete,Pending Upload,Complete,Alistair,,use PPP from 21_056,
7/13/2021 10:36 AM,Phillip,ACRO_2,LFCE-Barley,21_194,Complete,Complete,Pending Upload,Complete,Alistair,,use PPP from 21_056,
7/13/2021 11:27 AM,Phillip,ACRO_2,LFCE-Forage,21_194,Complete,Complete,Pending Upload,Complete,Alistair,,use PPP from 21_056,
7/8/2021 12:57 PM,Phillip,ACRO_2,LFCE-Barley,21_189,Complete,Complete,Pending Upload,Complete,Alistair,,use PPP from 21_056,
7/8/2021 11:46 AM,Phillip,ACRO_2,LFCE-Forage,21_189,Complete,Complete,Pending Upload,Complete,Alistair,,use PPP from 21_056,
7/8/2021 11:03 AM,Phillip,ACRO_2,LFCE-Corn,21_189,Complete,Complete,Pending Upload,Complete,Alistair,,use PPP from 21_056,
7/7/2021 12:03 PM,Phillip,ACRO_2,Naicam,21_188,Complete,Complete,Processed,Complete,Phillip,High,just lidar processed- macaw still needs to be done,
7/6/2021,Phillip,DuetT,Naicam,21_187,Complete,Pending,,,,High,use PPP from 21_188,
6/25/2021,Greg,miniVUX1,Fortress,21_176,Complete,Complete,Uploaded,Complete,Alistair,,,
6/22/2021 3:23 PM,Phillip,ACRO_1,LFCE-Corn,21_173,Complete,Complete,,Complete,Alistair,,use PPP from 21_056,
6/22/2021 2:44 PM,Phillip,ACRO_1,LFCE-Barley,21_173,Complete,Complete,,Complete,Alistair,,use PPP from 21_056,
6/22/2021 1:43 PM,Phillip,ACRO_1,LFCE-Forage,21_173,Complete,Complete,,Complete,Alistair,,use PPP from 21_056,
6/8/2021,Greg,miniVUX1,Fortress,21_159,Complete,Complete,Pending Upload,Complete,Alistair,,finished 9/23/21,
6/1/2021,Greg,miniVUX1,Fortress,21_152,Complete,Complete,Pending Upload,Complete,Alistair,,large stepdown in data after bare earth algorithm  - investigation required,
5/20/2021 3:37 PM,Phillip,ACRO_1,LFCE-Corn,21_140,Complete,Pending,Pending Upload,Complete,Alistair,,use PPP from 21_056,
5/17/2021,Greg,miniVUX1,Fortress,21_137,Complete,Complete,Pending Upload,Complete,Alistair,,large stepdown in data after bare earth algorithm  - investigation required,
5/5/2021,Greg,miniVUX1,Fortress,21_125,Complete,Pending,Pending Upload,Complete,Alistair,Medium,,
4/30/2021,Greg,miniVUX1,Fortress Ridge,21_120,Pending Upload,Complete,Pending Upload,Pending,,,no base station data,
4/29/2021,Phillip,ACRO_2,Harder Acreage,21_119,Complete,Pending,N/A,Pending,,,use PPP from 21_056 - lidar complete,
4/28/21 11:59,Greg,miniVUX1,Fortress-Ventilation Experiment,21_118,Pending Upload,Complete,Uploaded,Pending,,,upload not complete  - missing directories,
4/14/2021,Greg,ACRO_2,Fortress,21_104,Pending Upload,Pending,N/A,Pending,,,Incident,
4/10/2021,Phillip,ACRO_1,Harder Acreage,21_100,Complete,Pending,N/A,Pending,Alistair,,use PPP from 21_056,
4/5/2021,Phillip,ACRO_1,Harder Acreage,21_095,Complete,Pending,N/A,In progress,Alistair,,use PPP from 21_056,
3/30/2021,Phillip,ACRO_1,Harder Acreage,21_089,Complete,Pending,N/A,In progress,Alistair,,use PPP from 21_056,
3/28/2021,Phillip,ACRO_1,Harder Acreage,21_087,Complete,Pending,N/A,Complete,Alistair,,use PPP from 21_056,
3/24/21 1:15 PM,Phillip,ACRO_1,Harder Acreage,21_083,Complete,Complete,N/A,Complete,Alistair,,use PPP from 21_056,
3/20/2021 3:11 PM,Phillip,ACRO_1,Harder Acreage,21_079,Complete,Complete,N/A,Complete,Alistair,,use PPP from 21_056,
3/18/2021 16:39,Phillip,ACRO_1,Harder Acreage,21_077,Complete,Complete,N/A,In progress,Alistair,,"use PPP from 21_056 - PP processing failed - Rinex,T04 files sent to Applanix for analysis",
3/15/2021 1:04 PM,Phillip,ACRO_1,Harder Acreage,21_074,Complete,Complete,N/A,Pending,,,use PPP from 21_056,
3/12/2021 10:13:00,Greg,ACRO_1,Fortress Basin,21_071,Complete,Complete,Pending Upload,Pending,,,8 flights to scan basin. possible data deletion on some lidar data.... use PPP from 21_070,
3/11/2021 16:53,Greg,ACRO_2,Fortress -Ventilation Experiment,21_070,Complete,Complete,Pending Upload,Pending,,,,
3/11/2021 11:10,Phillip,ACRO_2,Fortress -Ventilation Experiment,21_070,Complete,Complete,Pending Upload,Pending,,,2 flights needed to complete area due to battery issue,
3/9/2021 12:30:00,Phillip,ACRO_1,LFCE,21_068,Complete,Complete,N/A,Pending,,,,
3/9/2021 10:45:00,Phillip,MS-1000-1,LFCE,21_068,Complete,Complete,N/A,Pending,,,,
3/8/2021 15:43:00,Phillip,ACRO_1,Harder Acreage,21_067,Complete,Complete,N/A,Pending,,,use PPP from 21_056,
3/8/2021 11:37:00,Phillip,ACRO_1,Rosthern,21_067,Complete,Complete,Pending Upload,Pending,,,,
3/6/2021 15:00:00,Phillip,ACRO_1,Harder Acreage,21_065,Complete,Complete,N/A,,,,"use PPP from 21_056, lidar rxp data missing??",
3/3/2021 4:29 PM,Phillip,ACRO_1,LFCE - SW,21_062,Complete,Complete,Pending Upload,Pending,,,"RGB and macaw photos not seperated, use PPP from 21_056",
3/3/2021 15:37:00,Phillip,ACRO_1,LFCE,21_062,Complete,Complete,Pending Upload,Pending,,,"RGB and macaw photos not seperated, use PPP from 21_056",
3/3/2021 14:36:00,Phillip,ACRO_1,Harder Acreage,21_062,Complete,Complete,N/A,Pending,,,"RGB and macaw photos not seperated, use PPP from 21_056",
3/1/2021 14:11:00,Phillip,DuetT,Harder Acreage,21_060,Complete,Pending,N/A,Pending,,,use PPP from 21_056,
3/1/2021 14:45:00,Phillip,ACRO_1,Harder Acreage,21_060,Complete,Complete,N/A,Pending,,,use PPP from 21_056,
2/25/2021 15:16:00,Phillip,ACRO_1,Harder Acreage,21_056,Complete,Complete,Pending Upload,Pending,,,Base data will be used for PPP on subsequent Harder Acreage flights- tripod stayed,
11/13/2020 11:50:00,Phillip,MS-1000-1,LFCE,20_318_medusa,All but ULG,Complete,Uploaded,In progress,Phillip,High,MS-1000 GPS antenna was folded for the first flight ,
11/13/2020 12:15:00,Phillip,MS-1000-1,LFCE,20_318_medusa,All but ULG,Complete,Uploaded,,,,,
11/13/2020 12:39:00,Phillip,MS-1000-1,LFCE,20_318_medusa,All but ULG,Complete,Uploaded,,,,,
11/13/2020 13:20:00,Phillip,ACRO_1,LFCE,"20_318_a,20_318_macaw",All but ULG,Complete,Uploaded,Pending,Phillip,High,Flight plan had some speed inconsistencies due to challenges in the flight planning,
11/13/2020 13:45:00,Phillip,ACRO_1,LFCE,"20_318_a, 20_318_macaw",All but ULG,Complete,Uploaded,,,,,
11/6/2020 10:37:00,Phillip,MS-1000-1,LFCE,20_311_medusa,Pending Upload,Complete,N/A,In progress,Phillip,High,Missing log and MS-1000 GPS data for first part of first flight,
11/6/2020 11:03:00,Phillip,MS-1000-1,LFCE,20_311_medusa,Pending Upload,Complete,N/A,,,,,
11/6/2020 11:28:00,Phillip,MS-1000-1,LFCE,20_311_medusa,Pending Upload,Complete,N/A,,,,,
10/29/2020 14:26:00,Phillip,MS-1000-1,LFCE,20_303_medusa,Complete,Complete,Processed,In progress,Phillip,Low,Test Flight,
10/29/2020 15:05:00,Phillip,ACRO_1,LFCE,"20_303_a,20_303_macaw",Complete,Complete,Processed,In progress,Dong,Medium,"Test Flight, Dong developing workflow from this dataset. Processed data with him",
8/26/2020 11:36:00,Greg,DuetT,Fortree- Ridge,20_239_g,Complete,Pending,PPP Complete,Pending,,Medium,,
8/26/2020 13:36:00,Greg,DuetT,Fortress - Powerline,20_239_g,Complete,Pending,PPP Complete,Pending,,,,
8/26/2020 15:03:00,Greg,DuetT,Fortress - Bonsai,20_239_g3,Complete,Complete,Processed,Pending,Sheryl,,,
8/26/2020 10:45:00,Greg,Sequoia,Fortree- Ridge,20_239_f,Complete,Pending,PPP Complete,Pending,,,,
8/26/2020 13:57:00,Greg,Sequoia,Fortress - Powerline,20_239_f,Complete,Pending,PPP Complete,Pending,,,,
8/26/2020 15:34:00,Greg,Sequoia,Fortress - Bonsai,20_239_f,Complete,Complete,PPP Complete,Complete,Phillip,,,
8/25/2020 9:30:00,Greg,miniVUX1,Peyto,20_238_a,Complete,Pending,Processed,Complete,Phillip,,Some weird alignment in flight lines,
8/25/2020 13:13:00,Greg,Sequoia,Peyto,20_238_f,Complete,Pending,Processed,Complete,Phillip,,,
8/25/2020 14:00:00,Greg,DuetT,Peyto,20_238_g,Complete,Pending,Processed,Complete,Phillip,,,
8/24/2020 11:00:00,Greg,miniVUX1,Fortress - Bonsai,20_237_a,Complete,Pending,PPP Complete,Complete,Phillip,,,
8/24/2020 13:15:00,Phillip,Commander RGB/IR,Fortress - Bonsai,20_237_dragan,Complete,Pending,PPP Complete,Pending,,,,
8/24/2020 16:05:00,Greg,Commander RGB/IR,Fortress - Powerline,20_237_dragan,Complete,Pending,PPP Complete,Pending,,,,
8/24/2020 12:15:00,Greg,DuetT,Fortress - Bonsai,20_237_g,Complete,Complete,PPP Complete,Pending,Sheryl,,,
7/28/2020 10:42:00,Phillip,Sequoia,LFCE-Barley,20_210f,Complete,Pending,Uploaded,Pending,Anders,,,
7/28/2020 13:47:00,Phillip,Sequoia,LFCE-Forage,20_210f,Complete,Pending,Uploaded,Pending,Anders,,,
7/28/2020 11:19:00,Phillip,DuetT,LFCE-Barley,20_210g,Pending Upload,Pending,Uploaded,Pending,Anders,,,
7/28/2020 13:19:00,Phillip,DuetT,LFCE-Forage,20_210g,Pending Upload,Pending,Uploaded,Pending,Anders,,,
7/28/2020,Phillip,miniVUX1,LFCE-Barley,20_210_a_1,Complete,Pending,PPP Complete,Pending,,,,
7/28/2020,Phillip,miniVUX1,LFCE-Forage,20_210_a_2,Complete,Pending,PPP Complete,Pending,,,,
